tld,status,type,owner
aaa,NA,brand,"American Automobile Association, Inc."
aarp,NA,brand,AARP
abb,NA,brand,ABB Ltd
abbott,NA,brand,"Abbott Laboratories, Inc."
abbvie,GA,brand,AbbVie Inc.
abc,NA,brand,"Disney Enterprises, Inc."
able,NA,brand,Able Inc.
abogado,GA,restricted,"Registry Services, LLC"
abudhabi,GA,restricted,Abu Dhabi Systems and Information Centre
academy,GA,unrestricted,Donuts
accenture,NA,brand,Accenture plc
accountant,GA,unrestricted,Global Registry Services Limited (Domain Venture Partners)
accountants,GA,unrestricted,Donuts
aco,NA,brand,ACO Severin Ahlmann GmbH & Co. KG
actor,GA,unrestricted,Donuts
ads,NA,unrestricted,Google
adult,GA,unrestricted,ICM Registry LLC (Minds + Machines Group Limited)
aeg,NA,brand,Aktiebolaget Electrolux
aetna,NA,brand,Aetna Life Insurance Company
afl,NA,brand,Australian Football League
africa,GA,unrestricted,ZA Central Registry NPC trading as Registry.Africa
agakhan,NA,brand,Fondation Aga Khan
agency,GA,unrestricted,Donuts
aig,NA,brand,"American International Group, Inc."
airbus,NA,brand,Airbus S.A.S.
airforce,GA,semi-restricted,Donuts
airtel,NA,brand,Bharti Airtel Limited
akdn,NA,brand,Fondation Aga Khan
alibaba,NA,brand,Alibaba Group Holding Ltd. (Alibaba Group Holding Ltd.)
alipay,NA,brand,Alibaba Group Holding Ltd. (Alibaba Group Holding Ltd.)
allfinanz,NA,brand,Allfinanz Deutsche Vermögensberatung Aktiengesellschaft (Deutsche Vermögensberatung AG)
allstate,NA,brand,Allstate Fire and Casualty Insurance Company
ally,NA,brand,Ally Financial Inc.
alsace,GA,semi-restricted,REGION GRAND EST
alstom,NA,brand,ALSTOM
amazon,NA,brand,Amazon
americanexpress,NA,brand,"American Express Travel Related Services Company, Inc."
americanfamily,NA,brand,"AmFam, Inc."
amex,NA,brand,"American Express Travel Related Services Company, Inc."
amfam,NA,brand,"AmFam, Inc."
amica,NA,brand,Amica Mutual Insurance Company
amsterdam,GA,unrestricted,Gemeente Amsterdam
analytics,NA,brand,Campus IP LLC
android,NA,brand,Google
anquan,NA,brand,QIHOO 360 Technology Co. Ltd.
anz,NA,brand,Australia and New Zealand Banking Group Ltd.
aol,NA,brand,OATH Inc.
apartments,GA,unrestricted,Donuts
app,GA,unrestricted,Google
apple,NA,brand,Apple Inc.
aquarelle,NA,brand,Aquarelle.com
arab,NA,restricted,League of Arab States
aramco,NA,brand,Aramco Services Company
archi,GA,semi-restricted,Donuts
army,GA,semi-restricted,Donuts
art,GA,unrestricted,UK Creative Ideas Limited
arte,NA,brand,Association Relative à la Télévision Européenne G.E.I.E.
asda,NA,brand,"Wal-Mart Stores, Inc."
associates,GA,unrestricted,Donuts
athleta,NA,brand,"The Gap, Inc."
attorney,GA,semi-restricted,Donuts
auction,GA,unrestricted,Donuts
audi,NA,brand,AUDI Aktiengesellschaft
audible,NA,brand,Amazon
audio,GA,unrestricted,XYZ.COM LLC
auspost,NA,brand,Australian Postal Corporation
author,NA,unrestricted,Amazon
auto,GA,unrestricted,XYZ.COM LLC
autos,GA,restricted,XYZ.COM LLC
avianca,NA,brand,Aerovias del Continente Americano S.A. Avianca
aws,NA,brand,Amazon
axa,NA,brand,AXA SA
azure,NA,brand,Microsoft Corporation
baby,GA,restricted,XYZ.COM LLC
baidu,NA,brand,"Baidu, Inc."
banamex,NA,brand,Citigroup Inc.
